,Open,High,Low,Close,Volume
2026-01-05,450.0,450.91062501938694,449.08937498061306,450.0,25641763.0
2026-01-06,450.0,458.42617527707876,451.7545038088059,455.09033954294233,65058842.0
2026-01-07,455.09033954294233,454.41309859857694,454.12524873533386,454.2691736669554,38128129.0
2026-01-08,454.2691736669554,456.5948679322113,455.72019985594375,456.1575338940775,34532126.0
2026-01-09,456.1575338940775,468.17725226915235,464.20181487170777,466.18953357043006,68075147.0
2026-01-12,466.18953357043006,467.19071605221365,464.9592802014533,466.07499812683346,63766811.0
2026-01-13,466.07499812683346,460.4335286769882,457.73333453352416,459.0834316052562,43450835.0
2026-01-14,459.0834316052562,474.1425562956617,468.75282725961546,471.44769177763857,8097020.0
2026-01-15,471.44769177763857,483.5499850691087,479.4631855074571,481.5065852882829,3196311.0
2026-01-16,481.5065852882829,486.483183506986,479.61661230219414,483.04989790459007,31609865.0
2026-01-19,483.04989790459007,483.8057814111086,479.72287021651215,481.7643258138104,68341485.0
2026-01-20,481.7643258138104,479.7358184457701,475.2967691079761,477.5162937768731,32760593.0
2026-01-21,477.5162937768731,471.13571532537736,465.31602134378835,468.22586833458286,12675927.0
2026-01-22,468.22586833458286,478.72893322951603,474.7213914317137,476.72516233061486,49322239.0
2026-01-23,476.72516233061486,467.65588278929033,465.8956204225293,466.7757516059098,3462603.0
2026-01-26,466.7757516059098,470.81679873409047,466.98548123173686,468.90113998291366,35691077.0
2026-01-27,468.90113998291366,477.21814037615314,472.85542927152056,475.03678482383685,53983779.0
2026-01-28,475.03678482383685,471.74553403161724,462.5186911309512,467.1321125812842,36741269.0
2026-01-29,467.1321125812842,466.75699718062907,466.01388082947705,466.38543900505306,17116926.0
2026-01-30,466.38543900505306,468.16249895305015,461.2208575831539,464.691678268102,46378959.0
2026-02-02,464.691678268102,452.353588241583,451.06281073149694,451.70819948653997,52385335.0
2026-02-03,451.70819948653997,458.9643093103722,455.77827356580565,457.3712914380889,48992088.0
2026-02-04,457.3712914380889,457.10788106569356,452.54790352006347,454.8278922928785,38183569.0
2026-02-05,454.8278922928785,463.5446310911824,463.06875221145856,463.3066916513205,64595266.0
2026-02-06,463.3066916513205,460.03849911929234,455.9154795481401,457.97698933371623,17614614.0
2026-02-09,457.97698933371623,456.9672110945845,452.9859090878306,454.97656009120755,6776415.0
2026-02-10,454.97656009120755,456.65517409570253,450.58608898054916,453.62063153812585,29205484.0
2026-02-11,453.62063153812585,454.9217645418482,450.20887416878503,452.5653193553166,79468612.0
2026-02-12,452.5653193553166,453.54873804719784,452.38718496552735,452.9679615063626,25985603.0
2026-02-13,452.9679615063626,451.5945529888367,449.75481873638336,450.67468586261003,59223828.0
2026-02-16,450.67468586261003,448.39404923909035,446.5467365272042,447.47039288314727,39416039.0
2026-02-17,447.47039288314727,443.7053409778953,435.2473920478345,439.4763665128649,13917042.0
2026-02-18,439.4763665128649,446.7505939852017,442.3339527280773,444.5422733566395,22901606.0
2026-02-19,444.5422733566395,444.64898122047333,441.6798243478551,443.1644027841642,71765086.0
2026-02-20,443.1644027841642,439.83172247870175,436.2842535903337,438.05798803451773,50189133.0
2026-02-23,438.05798803451773,444.52778814636343,438.5074883416401,441.5176382440018,45070149.0
2026-02-24,441.5176382440018,438.98280069049565,433.77547040333,436.37913554691283,49375247.0
2026-02-25,436.37913554691283,438.1134324344559,434.00622065118927,436.0598265428226,39821420.0
2026-02-26,436.0598265428226,434.03791574802705,432.4162962289865,433.22710598850676,12176828.0
2026-02-27,433.22710598850676,432.6928144709995,430.60411477669476,431.64846462384713,7459501.0
2026-03-02,431.64846462384713,433.47245366196495,431.78166809257124,432.6270608772681,43129759.0
2026-03-03,432.6270608772681,439.76770739756273,435.2242368689506,437.49597213325666,6013582.0
2026-03-04,437.49597213325666,437.72178749371943,437.1966947253439,437.45924110953166,4872875.0
2026-03-05,437.45924110953166,427.0538080850079,426.4415890045747,426.7476985447913,79327760.0
2026-03-06,426.7476985447913,427.0349342525484,425.2548545429736,426.144894397761,54173294.0
2026-03-09,426.144894397761,423.5392034828548,419.5612786316304,421.5502410572426,26747780.0
2026-03-10,421.5502410572426,413.3440197211994,413.0094712389574,413.1767454800784,43592940.0
2026-03-11,413.1767454800784,413.80050511509256,413.5386655375426,413.6695853263176,45762279.0
2026-03-12,413.6695853263176,418.8136043745143,416.5951954976704,417.70439993609233,32071551.0
2026-03-13,417.70439993609233,423.4894742835723,418.5660855017914,421.02777989268185,77303117.0
2026-03-16,421.02777989268185,413.2865122169953,413.2270921116478,413.2568021643215,71578794.0
2026-03-17,413.2568021643215,420.9324584178424,418.7259540602608,419.8292062390516,2131936.0
2026-03-18,419.8292062390516,422.1036718243216,417.17626766392846,419.63996974412504,60557684.0
2026-03-19,419.63996974412504,421.18740855890474,420.9801042619141,421.0837564104094,45922786.0
2026-03-20,421.0837564104094,432.23136385786785,424.5720464975587,428.40170517771327,57173904.0
2026-03-23,428.40170517771327,430.15105497414834,428.4040923737332,429.27757367394076,21247186.0
2026-03-24,429.27757367394076,434.7314617147853,427.5985220689742,431.16499189187977,57394229.0
2026-03-25,431.16499189187977,434.87835940959354,424.8091667783029,429.8437630939482,40866902.0
2026-03-26,429.8437630939482,430.0128283750096,425.4723116152825,427.742569995146,13924255.0
2026-03-27,427.742569995146,428.9269615658846,428.88388985962473,428.90542571275466,33785895.0
2026-03-30,428.90542571275466,443.76227412401187,433.7435614605682,438.75291779229,49701715.0
2026-03-31,438.75291779229,436.35664964723964,435.7800242072847,436.0683369272622,15936930.0
2026-04-01,436.0683369272622,432.2625596068492,432.0872471975898,432.1749034022195,64110920.0
2026-04-02,432.1749034022195,428.81799871385493,420.8648442018926,424.84142145787376,77689368.0
2026-04-03,424.84142145787376,429.7657025127505,427.2337412070856,428.49972185991805,40837854.0
2026-04-06,428.49972185991805,433.3199094930477,430.6740004094718,431.99695495125974,23384981.0
2026-04-07,431.99695495125974,439.15875892754514,427.5896589999826,433.37420896376386,45026369.0
2026-04-08,433.37420896376386,427.4417912782895,426.5083376723458,426.97506447531765,59489324.0
2026-04-09,426.97506447531765,433.55887527205783,425.6408628826252,429.5998690773415,60954235.0
2026-04-10,429.5998690773415,434.40659332566054,427.7143015257109,431.0604474256857,31969114.0
2026-04-13,431.0604474256857,432.5651615998448,432.39471850455595,432.4799400522004,65993927.0
2026-04-14,432.4799400522004,440.785103058738,435.1788294859244,437.9819662723312,7219574.0
2026-04-15,437.9819662723312,447.0100254184354,443.97472260269245,445.49237401056394,50521856.0
2026-04-16,445.49237401056394,445.2941741641814,443.1022735664287,444.19822386530507,12387155.0
2026-04-17,444.19822386530507,456.4354243043836,450.20081744387545,453.31812087412953,57901099.0
2026-04-20,453.31812087412953,437.02637121256345,433.5963865179372,435.31137886525033,14433238.0
2026-04-21,435.31137886525033,447.38969314799306,447.2987573633412,447.34422525566714,75971622.0
2026-04-22,447.34422525566714,452.2265234465977,449.74828042839357,450.98740193749563,36550325.0
2026-04-23,450.98740193749563,454.3810166991724,453.0882488368294,453.7346327680009,30362071.0
2026-04-24,453.7346327680009,452.9283004231101,448.1360911888267,450.5321958059684,4670492.0
2026-04-27,450.5321958059684,448.0356252025179,446.39748994697044,447.2165575747442,16223887.0
2026-04-28,447.2165575747442,445.129766588234,444.9977752959188,445.0637709420764,72086163.0
2026-04-29,445.0637709420764,444.47341599510855,442.70433782110126,443.5888769081049,34329598.0
2026-04-30,443.5888769081049,451.1732939408192,450.40626231184973,450.78977812633445,64023737.0
2026-05-01,450.78977812633445,449.79825614485407,447.86931035695426,448.83378325090416,35119668.0
2026-05-04,448.83378325090416,444.547818285584,438.64871256656187,441.59826542607294,26928384.0
2026-05-05,441.59826542607294,439.6614962717172,433.4173100289931,436.53940315035516,71824412.0
