,Open,High,Low,Close,Volume
2026-01-05,875.0,885.8509588488376,864.1490411511624,875.0,55698471.0
2026-01-06,875.0,876.1326700907562,857.6801743363119,866.906422213534,54499002.0
2026-01-07,866.906422213534,866.7100760263268,855.9738556861801,861.3419658562534,41993954.0
2026-01-08,861.3419658562534,883.9396165544242,868.2664205511903,876.1030185528073,56716658.0
2026-01-09,876.1030185528073,890.8465658274073,879.5684811999389,885.2075235136731,23595966.0
2026-01-12,885.2075235136731,917.237990562247,871.3745056817888,894.3062481220179,61544511.0
2026-01-13,894.3062481220179,918.4535298416494,905.2092850642786,911.831407452964,39026182.0
2026-01-14,911.831407452964,930.5912881764018,923.4511364644832,927.0212123204425,38319763.0
2026-01-15,927.0212123204425,948.2266915572983,933.575141649755,940.9009166035266,60401945.0
2026-01-16,940.9009166035266,966.6153828669277,952.6712713083072,959.6433270876174,78085630.0
2026-01-19,959.6433270876174,999.3425198607997,997.1061506831084,998.224335271954,38185155.0
2026-01-20,998.224335271954,1010.8461484345082,1002.9079092882366,1006.8770288613724,30997485.0
2026-01-21,1006.8770288613724,1024.4271151812493,1001.8479093348501,1013.1375122580497,19642355.0
2026-01-22,1013.1375122580497,1008.036205961107,1004.8968924513451,1006.4665492062261,79076110.0
2026-01-23,1006.4665492062261,993.3638305061438,983.8265904449102,988.595210475527,76652023.0
2026-01-26,988.595210475527,992.0536753829095,961.2669560510873,976.6603157169984,7384935.0
2026-01-27,976.6603157169984,977.9520734334168,960.1479832656809,969.0500283495488,14155092.0
2026-01-28,969.0500283495488,952.5299214001842,946.7487532656122,949.6393373328982,16514254.0
2026-01-29,949.6393373328982,940.1752615468552,935.8484168401753,938.0118391935152,21678933.0
2026-01-30,938.0118391935152,913.6479564769645,894.6744581039509,904.1612072904577,25063155.0
2026-02-02,904.1612072904577,865.0086622442299,859.9780326663082,862.493347455269,25593741.0
2026-02-03,862.493347455269,901.5469724287424,881.7263037947324,891.6366381117374,41247228.0
2026-02-04,891.6366381117374,909.9444959119777,877.9083778568232,893.9264368844005,61010024.0
2026-02-05,893.9264368844005,901.3958137544789,880.6705160971499,891.0331649258144,71748793.0
2026-02-06,891.0331649258144,874.614679720808,868.8495157763234,871.7320977485657,5133211.0
2026-02-09,871.7320977485657,882.5756192736164,859.2463019892537,870.910960631435,13616152.0
2026-02-10,870.910960631435,882.7125507595936,863.291569909595,873.0020603345943,3726199.0
2026-02-11,873.0020603345943,848.2429627178716,839.51567315207,843.8793179349708,14756935.0
2026-02-12,843.8793179349708,869.9818247066091,857.2253514299364,863.6035880682728,7071915.0
2026-02-13,863.6035880682728,879.0537641564692,847.7021925025872,863.3779783295282,34005216.0
2026-02-16,863.3779783295282,867.8097521467372,864.9937076782165,866.4017299124769,69552809.0
2026-02-17,866.4017299124769,882.0099922396222,864.9289565054847,873.4694743725535,75418978.0
2026-02-18,873.4694743725535,889.8331418414671,886.6095384615503,888.2213401515087,52352901.0
