,Open,High,Low,Close,Volume
2026-01-05,155.0,155.85975960620405,154.14024039379595,155.0,6928476.0
2026-01-06,155.0,156.287065078332,154.1372539569252,155.2121595176286,5886613.0
2026-01-07,155.2121595176286,158.5773957152004,155.59923232586527,157.08831402053283,39564874.0
2026-01-08,157.08831402053283,162.85381945840123,159.7967852019881,161.32530233019466,77831720.0
2026-01-09,161.32530233019466,162.45497622516268,161.21660697709876,161.83579160113072,26873513.0
2026-01-12,161.83579160113072,161.9102514710648,159.3560572443388,160.6331543577018,58052321.0
2026-01-13,160.6331543577018,160.79659863311596,160.59788566053723,160.6972421468266,70302366.0
2026-01-14,160.6972421468266,162.927037008733,162.66259058995917,162.7948137993461,72438646.0
2026-01-15,162.7948137993461,165.4358895496276,164.26245247229363,164.84917101096062,74225040.0
2026-01-16,164.84917101096062,167.3728279565231,164.11808108689854,165.74545452171083,11143589.0
2026-01-19,165.74545452171083,168.27302157767616,167.77903542298293,168.02602850032955,35935757.0
2026-01-20,168.02602850032955,169.147588489252,167.77503256270293,168.46131052597747,78310998.0
2026-01-21,168.46131052597747,170.94933641529437,170.20453630489234,170.57693636009336,36517976.0
2026-01-22,170.57693636009336,170.01690576683458,167.2883083986919,168.65260708276324,4426062.0
2026-01-23,168.65260708276324,168.8936644388089,167.3158236902974,168.10474406455316,10209517.0
2026-01-26,168.10474406455316,165.34079009048946,164.4372712355153,164.8890306630024,43049527.0
2026-01-27,164.8890306630024,165.61472360468906,165.24856029132195,165.4316419480055,44548791.0
2026-01-28,165.4316419480055,163.2419120261042,161.6432212332812,162.4425666296927,12127222.0
2026-01-29,162.4425666296927,162.0906072446935,161.42817423325505,161.75939073897428,61193912.0
2026-01-30,161.75939073897428,162.22745574572377,160.89332795986786,161.56039185279582,36512811.0
2026-02-02,161.56039185279582,157.60309154996577,155.7786148795551,156.69085321476044,15655842.0
2026-02-03,156.69085321476044,161.48218698957237,159.79720423134302,160.6396956104577,48754929.0
2026-02-04,160.6396956104577,162.7229006605914,162.12199068759594,162.42244567409367,13290492.0
2026-02-05,162.42244567409367,163.0952601682627,162.9395794390918,163.01741980367726,51347456.0
2026-02-06,163.01741980367726,161.32317729450457,161.09312743441635,161.20815236446046,39581619.0
2026-02-09,161.20815236446046,160.4419769975204,158.1804492435277,159.31121312052406,59470428.0
2026-02-10,159.31121312052406,160.8094961986928,160.61968113283487,160.71458866576384,67955748.0
2026-02-11,160.71458866576384,159.78835263843894,159.53936306063804,159.6638578495385,69115328.0
2026-02-12,159.6638578495385,160.174371919401,157.9608752789408,159.0676235991709,79086898.0
2026-02-13,159.0676235991709,158.35760243204746,157.17816401617463,157.76788322411105,35399680.0
2026-02-16,157.76788322411105,157.40667950865807,157.17952647013706,157.29310298939757,70270004.0
2026-02-17,157.29310298939757,156.53796541061257,155.4706282621067,156.00429683635963,62139023.0
2026-02-18,156.00429683635963,159.12753498266406,154.8881608541972,157.00784791843063,55944811.0
2026-02-19,157.00784791843063,159.18249766800162,157.29070910939848,158.23660338870005,13042682.0
2026-02-20,158.23660338870005,156.59277172374132,156.34304382361566,156.4679077736785,45778108.0
2026-02-23,156.4679077736785,159.95120999422159,155.95466336917417,157.95293668169788,62564533.0
2026-02-24,157.95293668169788,157.32408298983603,153.57181132772183,155.44794715877893,58817319.0
2026-02-25,155.44794715877893,157.76211310526375,155.5803228831572,156.67121799421048,52596687.0
2026-02-26,156.67121799421048,154.52008910022718,153.9067410010762,154.2134150506517,12589887.0
2026-02-27,154.2134150506517,154.93778543054415,153.4570667709817,154.19742610076293,14679338.0
2026-03-02,154.19742610076293,155.75489541927868,155.0462728355174,155.40058412739805,63766928.0
2026-03-03,155.40058412739805,156.6027521074864,156.24715568945695,156.42495389847167,32601080.0
2026-03-04,156.42495389847167,156.2759743141801,155.32323240688893,155.79960336053452,58656406.0
2026-03-05,155.79960336053452,157.8488346696319,156.3731728210264,157.11100374532916,53727750.0
2026-03-06,157.11100374532916,157.4063035154212,155.47693098665388,156.44161725103754,52335659.0
2026-03-09,156.44161725103754,154.58337683392273,153.7512506761999,154.16731375506131,54296372.0
2026-03-10,154.16731375506131,153.64624170194148,152.44977220837646,153.04800695515897,14602694.0
2026-03-11,153.04800695515897,152.68953526400807,151.2888867806727,151.98921102234038,17927403.0
2026-03-12,151.98921102234038,155.86170224269318,151.20749703366357,153.53459963817838,35150798.0
2026-03-13,153.53459963817838,157.6953764871479,156.4729699974816,157.08417324231476,16671009.0
2026-03-16,157.08417324231476,155.63572171405758,150.56658311815875,153.10115241610816,10821549.0
2026-03-17,153.10115241610816,153.33455880333037,151.88001952980824,152.6072891665693,66496620.0
2026-03-18,152.6072891665693,154.7371602284607,153.7503670825891,154.2437636555249,21485901.0
2026-03-19,154.2437636555249,153.6231907390163,152.16552513225224,152.89435793563428,59145933.0
2026-03-20,152.89435793563428,154.1447268636762,152.5619300085502,153.3533284361132,36157583.0
2026-03-23,153.3533284361132,156.95180771665062,156.29567754120487,156.62374262892774,17589702.0
2026-03-24,156.62374262892774,156.6985927380586,155.5906560311239,156.14462438459125,18091794.0
2026-03-25,156.14462438459125,156.96118167162757,155.62241973397573,156.29180070280165,59704449.0
2026-03-26,156.29180070280165,156.97020437072976,155.22377541471369,156.09698989272172,50604169.0
2026-03-27,156.09698989272172,158.4324707419823,156.5609450391369,157.4967078905596,31092273.0
2026-03-30,157.4967078905596,160.57487770920756,159.17901369579386,159.8769457025007,43665616.0
2026-03-31,159.8769457025007,158.51524654030143,158.2910863437846,158.40316644204302,16367204.0
2026-04-01,158.40316644204302,160.10378087083382,159.7115497707257,159.90766532077976,76394251.0
2026-04-02,159.90766532077976,158.44577036256118,156.7311711435906,157.58847075307588,67242949.0
2026-04-03,157.58847075307588,157.26134291880453,155.89870121327488,156.5800220660397,23277544.0
2026-04-06,156.5800220660397,160.13558617415703,159.63812505295095,159.886855613554,32548096.0
2026-04-07,159.886855613554,164.49449533086081,164.19759674988327,164.34604604037204,69840500.0
2026-04-08,164.34604604037204,164.26059180605168,163.80716662431146,164.03387921518157,53017938.0
2026-04-09,164.03387921518157,166.91742517907667,166.25267612702302,166.58505065304985,12149777.0
2026-04-10,166.58505065304985,167.56324614959667,166.08457735481957,166.82391175220812,9553925.0
2026-04-13,166.82391175220812,170.7971015144232,169.15602045660015,169.97656098551167,33209516.0
2026-04-14,169.97656098551167,172.68098623745553,171.4445730167545,172.06277962710502,38771094.0
2026-04-15,172.06277962710502,175.20321606699946,174.83520503510476,175.0192105510521,59203222.0
2026-04-16,175.0192105510521,177.16843763773676,174.2473965291697,175.70791708345322,79951366.0
2026-04-17,175.70791708345322,179.61163554577334,179.02768099708075,179.31965827142704,48894926.0
2026-04-20,179.31965827142704,176.6190815846248,174.93061414036347,175.77484786249414,71289003.0
2026-04-21,175.77484786249414,177.514131890808,176.51460600433992,177.01436894757396,5719194.0
2026-04-22,177.01436894757396,177.012120562284,176.46470548093941,176.7384130216117,38838169.0
2026-04-23,176.7384130216117,176.58467559531928,175.82832323276412,176.2064994140417,70541536.0
2026-04-24,176.2064994140417,174.78845246925155,174.62165087105743,174.7050516701545,52895822.0
2026-04-27,174.7050516701545,172.7944795116575,172.73335953631695,172.76391952398723,53954211.0
2026-04-28,172.76391952398723,171.80301028960824,170.83968095151405,171.32134562056115,41412278.0
2026-04-29,171.32134562056115,170.46414302028452,170.39128068720456,170.42771185374454,75949887.0
2026-04-30,170.42771185374454,173.6081739970324,172.579618943875,173.0938964704537,46150968.0
2026-05-01,173.0938964704537,173.12536434449123,171.3578905221218,172.24162743330652,71574460.0
2026-05-04,172.24162743330652,173.01953634613,170.03261047357893,171.52607340985446,17842433.0
2026-05-05,171.52607340985446,170.4264149547178,169.58094705515418,170.003681004936,60050102.0
2026-05-06,170.003681004936,171.40682723296018,170.81526439216398,171.11104581256208,73513977.0
2026-05-07,171.11104581256208,173.22860030566557,172.79621868739537,173.01240949653047,66134752.0
2026-05-08,173.01240949653047,174.2844965858632,172.4839040311882,173.3842003085257,36968399.0
2026-05-11,173.3842003085257,175.70617512356984,175.20330295711352,175.45473904034168,55719638.0
2026-05-12,175.45473904034168,176.13319370862646,175.68425983782285,175.90872677322466,30417654.0
2026-05-13,175.90872677322466,179.59679014925175,176.5799080459768,178.08834909761427,40620879.0
2026-05-14,178.08834909761427,177.86449726001135,177.1345633868418,177.49953032342657,42411036.0
2026-05-15,177.49953032342657,176.82728550350552,175.3232989465212,176.07529222501336,79180450.0
2026-05-18,176.07529222501336,179.2790368668958,176.9254135145411,178.10222519071846,13462734.0
2026-05-19,178.10222519071846,178.19025972091006,177.9095051943302,178.04988245762013,17317570.0
2026-05-20,178.04988245762013,180.74050606825483,179.5497462371685,180.14512615271167,21396438.0
2026-05-21,180.14512615271167,180.2120241137622,180.01696064858305,180.11449238117262,37490204.0
2026-05-22,180.11449238117262,181.82558438323764,180.73999470187573,181.28278954255669,56900320.0
